IRLS Dive Data CSV Export. (Version 1.2)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2201,"Swap out CTD, DO and OPTAA instrument at site.",2022-08-09 01:25:00,2022-08-09 11:52:00

Site(s):
Name,Comments

Scientist(s):
Name, Organization

Observations:
Dive Number,Date(UTC),Observation,Latitude,Longitude,Depth(m),Heading,Pitch(deg),Roll(deg),Altitude(m),Speed(knots),Metadata,conductivity_Sm,temperature_C,pressure_db,oxygen_sb43_mll,salinity_psu,File
2201,2022-08-09 05:57:59,"close to CTD",44.5150182,-125.3902031,2903.41,119.41,-4.03,4.77,0.69,0.12,"Vehicle ",3.14801,1.7249,2944.723,1.49,34.6388,./files/framegrabs/SDI1_8_9_2022 01_22_33_16516.jpg
2201,2022-08-09 05:58:06,"DSC: Please add comment [Focal Length=36] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=900]",44.5150181,-125.3902044,2903.44,112.34,-3.33,3.23,0.64,0,"",3.14804,1.7252,2944.731,1.49,34.6389,./files/dscs/R2201_24903.jpg
2201,2022-08-09 05:58:19,"left arm reaching for CTD",44.5150178,-125.3902046,2903.41,111.99,-3.48,4.19,0.65,0,"Vehicle ",3.14809,1.7259,2944.734,1.49,34.6389,./files/framegrabs/SDI1_8_9_2022 01_22_33_16544.jpg
2201,2022-08-09 05:58:42,"left arm grabbing CTD",44.5150178,-125.3902043,2903.5,113.47,-3.97,3.96,0.66,0,"Vehicle ",3.14833,1.7284,2944.737,1.49,34.6392,./files/framegrabs/SDI1_8_9_2022 01_22_33_16568.jpg
2201,2022-08-09 05:59:10,"left arm lifting CTD",44.5150205,-125.3902035,2902.55,126.26,-7.91,0.18,1.51,0.28,"Vehicle ",3.14849,1.7278,2943.944,1.49,34.6421,./files/framegrabs/SDI1_8_9_2022 01_22_33_16595.jpg
2201,2022-08-09 06:00:01,"both arms carrying the CTD and plugs to the basket",44.5151139,-125.3903132,2900.9,127.06,-8.18,3.46,3.31,0.23,"Vehicle ",3.14797,1.7253,2942.207,1.49,34.6391,./files/framegrabs/SDI1_8_9_2022 01_22_33_16646.jpg
2201,2022-08-09 06:00:11,"DSC: Please add comment [Focal Length=36] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2000]",44.5151049,-125.3903167,2902.01,128.29,-9.69,1.59,2.25,0.32,"",3.14823,1.7263,2943.363,1.49,34.6407,./files/dscs/R2201_24904.jpg
2201,2022-08-09 06:01:40,"ROPOS approaching the basket to place CTD",44.5151774,-125.3902698,2901.24,103.3,-9.09,0.28,3,0.61,"Vehicle ",3.14798,1.7254,2942.541,1.49,34.639,./files/framegrabs/SDI1_8_9_2022 01_22_33_16763.jpg
2201,2022-08-09 06:02:24,"CTD placed infront of basket",44.5151885,-125.3901882,2903.48,127.5,-4.42,0.01,0.62,0.05,"Vehicle ",3.148,1.7248,2944.776,1.49,34.6388,./files/framegrabs/SDI1_8_9_2022 01_22_33_16819.jpg
2201,2022-08-09 06:02:54,"DSC: Please add comment [Focal Length=36] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1000]",44.5151872,-125.3901881,2903.57,123.29,-4.26,0.54,0.54,0,"",3.14814,1.7264,2944.815,1.49,34.6388,./files/dscs/R2201_24905.jpg
2201,2022-08-09 06:03:20,"left arm release CTD",44.5151873,-125.3901881,2903.6,123.3,-4.11,0.45,0.53,0,"Vehicle ",3.14808,1.7256,2944.806,1.49,34.6389,./files/framegrabs/SDI1_8_9_2022 01_22_33_16837.jpg
2201,2022-08-09 06:03:47,"Plugs placed on sea floor by right arm",44.5151873,-125.3901882,2903.56,123.29,-4.17,0.46,0.54,0,"Cabled Plug ",3.14806,1.7258,2944.814,1.49,34.6384,./files/framegrabs/SDI1_8_9_2022 01_22_33_16884.jpg
2201,2022-08-09 06:04:58,"Basket and junction box in view",44.515217,-125.3901929,2901.72,169.84,-3.58,3.58,2.32,0.63,"Vehicle ",3.14854,1.7316,2943.031,1.49,34.639,
2201,2022-08-09 06:05:12,"DSC: Please add comment [Focal Length=36] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2800]",44.5152421,-125.3901481,2900.6,210.59,-3.67,5.39,3.48,0.69,"",3.14798,1.7265,2941.927,1.49,34.6381,./files/dscs/R2201_24906.jpg
2201,2022-08-09 06:05:30,"Shot of basket and CTD",44.5152349,-125.3900904,2901.64,246.18,-3.94,5.1,2.49,0.57,"Vehicle ",3.14798,1.7253,2942.96,1.49,34.6389,./files/framegrabs/SDI1_8_9_2022 01_22_33_16975.jpg
