Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.actions,event_option.milestone,event_option.type,event_option.filename,event_option.event_comment,event_option.dummy_plug,event_option.nav,event_option.cabled_plug,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-11T23:17:27.274Z","45.9166507","-130.0250825","ASNAP","","admin","","","","","","","","","-6.40","-1.77","1.2","-6.5","83.14","190.43","0.58","SciCam","/SciCam.20240811_231727274.jpg","PilotCam","/PilotCam.20240811_231727274.jpg","BrowCam","/BrowCam.20240811_231727274.jpg","UserSelect","/UserSelect.20240811_231727274.jpg","","","-999.99","6.91","-999.99","-999.99","66b94687111b2e001a287039"
"2024-08-11T23:17:42.301Z","45.9166504","-130.0250848","ASNAP","","admin","","","","","","","","","-6.58","-1.81","0.9","-6.6","82.38","190.27","0.58","SciCam","/SciCam.20240811_231742301.jpg","PilotCam","/PilotCam.20240811_231742301.jpg","BrowCam","/BrowCam.20240811_231742301.jpg","UserSelect","/UserSelect.20240811_231742301.jpg","","","-999.99","6.89","-999.99","-999.99","66b94696111b2e001a28703d"
"2024-08-11T23:17:57.333Z","45.9166498","-130.0250871","ASNAP","","admin","","","","","","","","","-6.76","-1.88","1.2","-6.4","82.29","190.39","0.58","SciCam","/SciCam.20240811_231757333.jpg","PilotCam","/PilotCam.20240811_231757333.jpg","BrowCam","/BrowCam.20240811_231757333.jpg","UserSelect","/UserSelect.20240811_231757333.jpg","","","-999.99","6.98","-999.99","-999.99","66b946a5111b2e001a287041"
"2024-08-11T23:18:12.354Z","45.9166500","-130.0250913","ASNAP","","admin","","","","","","","","","-7.08","-1.85","1.1","-6.4","82.03","189.92","0.58","SciCam","/SciCam.20240811_231812354.jpg","PilotCam","/PilotCam.20240811_231812354.jpg","BrowCam","/BrowCam.20240811_231812354.jpg","UserSelect","/UserSelect.20240811_231812354.jpg","","","-999.99","6.88","-999.99","-999.99","66b946b4111b2e001a287045"
"2024-08-11T23:18:27.385Z","45.9166496","-130.0250941","ASNAP","","admin","","","","","","","","","-7.30","-1.90","1.1","-6.6","82.63","189.57","0.58","SciCam","/SciCam.20240811_231827385.jpg","PilotCam","/PilotCam.20240811_231827385.jpg","BrowCam","/BrowCam.20240811_231827385.jpg","UserSelect","/UserSelect.20240811_231827385.jpg","","","-999.99","6.99","-999.99","-999.99","66b946c3111b2e001a287049"
"2024-08-11T23:18:42.414Z","45.9166476","-130.0250897","ASNAP","","admin","","","","","","","","","-6.96","-2.12","-1.0","-5.9","84.43","193.30","0.58","SciCam","/SciCam.20240811_231842414.jpg","PilotCam","/PilotCam.20240811_231842414.jpg","BrowCam","/BrowCam.20240811_231842414.jpg","UserSelect","/UserSelect.20240811_231842414.jpg","","","-999.99","6.91","-999.99","-999.99","66b946d2111b2e001a28704d"
"2024-08-11T23:18:57.445Z","45.9166468","-130.0250862","ASNAP","","admin","","","","","","","","","-6.69","-2.21","-0.3","-5.6","82.66","196.62","0.58","SciCam","/SciCam.20240811_231857445.jpg","PilotCam","/PilotCam.20240811_231857445.jpg","BrowCam","/BrowCam.20240811_231857445.jpg","UserSelect","/UserSelect.20240811_231857445.jpg","","","-999.99","6.78","-999.99","-999.99","66b946e1111b2e001a287051"
"2024-08-11T23:19:10.345Z","45.9166451","-130.0250818","NAV","Flying to EOM cable cage","guest","","","","","","","Navigator target","","-6.35","-2.40","-0.4","-6.4","86.99","198.90","0.58","SciCam","/SciCam.20240811_231910345.jpg","PilotCam","/PilotCam.20240811_231910345.jpg","BrowCam","/BrowCam.20240811_231910345.jpg","UserSelect","/UserSelect.20240811_231910345.jpg","","","-999.99","7.02","-999.99","-999.99","66b946ee111b2e001a287055"
"2024-08-11T23:19:12.474Z","45.9166433","-130.0250804","ASNAP","","admin","","","","","","","","","-6.24","-2.60","-0.6","-6.1","91.40","199.22","0.58","SciCam","/SciCam.20240811_231912474.jpg","PilotCam","/PilotCam.20240811_231912474.jpg","BrowCam","/BrowCam.20240811_231912474.jpg","UserSelect","/UserSelect.20240811_231912474.jpg","","","-999.99","6.91","-999.99","-999.99","66b946f0111b2e001a287059"
"2024-08-11T23:19:27.505Z","45.9166346","-130.0250824","ASNAP","","admin","","","","","","","","","-6.39","-3.56","0.0","-7.8","114.82","200.00","0.58","SciCam","/SciCam.20240811_231927505.jpg","PilotCam","/PilotCam.20240811_231927505.jpg","BrowCam","/BrowCam.20240811_231927505.jpg","UserSelect","/UserSelect.20240811_231927505.jpg","","","-999.99","6.84","-999.99","-999.99","66b946ff111b2e001a28705d"
