Date/Time (UTC),vehicleRealtimeNavData.latitude (ddeg),vehicleRealtimeNavData.longitude (ddeg),event_value,event_free_text,event_author,event_option.new_watchstander,event_option.milestone,event_option.type,event_option.actions,event_option.filename,event_option.highlights,event_option.nav,vehicleRealtimeNavData.local_x (meters),vehicleRealtimeNavData.local_y (meters),vehicleRealtimeNavData.roll (deg),vehicleRealtimeNavData.pitch (deg),vehicleRealtimeNavData.heading (deg),vehicleRealtimeNavData.depth (meters),vehicleRealtimeNavData.altitude (meters),vehicleRealtimeFramegrabberData.camera_name_1,vehicleRealtimeFramegrabberData.filename_1,vehicleRealtimeFramegrabberData.camera_name_2,vehicleRealtimeFramegrabberData.filename_2,vehicleRealtimeFramegrabberData.camera_name_3,vehicleRealtimeFramegrabberData.filename_3,vehicleRealtimeFramegrabberData.camera_name_4,vehicleRealtimeFramegrabberData.filename_4,vehicleReNavData.pitch (deg),vehicleReNavData.roll (deg),vehicleTemperatureProbe.probe1_temperature (degC),vehicleTemperatureProbe.probe2_temperature (degC),vehicleTemperatureProbe.probe3_temperature (degC),vehicleTemperatureProbe.probe4_temperature (degC),id
"2024-08-15T17:35:02.579Z","44.3593282","-124.9648675","ASNAP","","admin","","","","","","","","-25.25","-42.33","-1.0","-3.4","182.14","566.16","14.80","SciCam","/SciCam.20240815_173502579.jpg","PilotCam","/PilotCam.20240815_173502579.jpg","BrowCam","/BrowCam.20240815_173502579.jpg","UserSelect","/UserSelect.20240815_173502579.jpg","","","-999.99","5.39","-999.99","-999.99","66be3c46111b2e001a29903e"
"2024-08-15T17:35:14.000Z","","","SulisCam","","admin","","","","","sulis_20240815173514.jpg","","","","","","","","","","","","","","","","","","-4.616","-0.617","","","","","66be95b3111b2e001a29b169"
"2024-08-15T17:35:17.610Z","44.3592910","-124.9648913","ASNAP","","admin","","","","","","","","-27.15","-46.46","-1.0","-4.6","181.89","569.37","11.60","SciCam","/SciCam.20240815_173517610.jpg","PilotCam","/PilotCam.20240815_173517610.jpg","BrowCam","/BrowCam.20240815_173517610.jpg","UserSelect","/UserSelect.20240815_173517610.jpg","","","-999.99","5.34","-999.99","-999.99","66be3c55111b2e001a299042"
"2024-08-15T17:35:32.641Z","44.3592598","-124.9649099","ASNAP","","admin","","","","","","","","-28.63","-49.93","-0.7","-4.9","178.92","571.88","9.24","SciCam","/SciCam.20240815_173532641.jpg","PilotCam","/PilotCam.20240815_173532641.jpg","BrowCam","/BrowCam.20240815_173532641.jpg","UserSelect","/UserSelect.20240815_173532641.jpg","","","-999.99","5.35","-999.99","-999.99","66be3c64111b2e001a299046"
"2024-08-15T17:35:47.672Z","44.3592682","-124.9649222","ASNAP","","admin","","","","","","","","-29.61","-49.00","-1.6","-5.3","178.86","574.08","7.01","SciCam","/SciCam.20240815_173547672.jpg","PilotCam","/PilotCam.20240815_173547672.jpg","BrowCam","/BrowCam.20240815_173547672.jpg","UserSelect","/UserSelect.20240815_173547672.jpg","","","-999.99","5.30","-999.99","-999.99","66be3c73111b2e001a29904a"
"2024-08-15T17:36:01.180Z","44.3592695","-124.9649331","Biology Type","","guest","","","Fish","","","","","-30.48","-48.85","-2.3","-4.8","180.84","576.30","4.76","SciCam","/SciCam.20240815_173601180.jpg","PilotCam","/PilotCam.20240815_173601180.jpg","BrowCam","/BrowCam.20240815_173601180.jpg","UserSelect","/UserSelect.20240815_173601180.jpg","","","-999.99","5.37","-999.99","-999.99","66be3c81111b2e001a29904e"
"2024-08-15T17:36:02.703Z","44.3592699","-124.9649335","ASNAP","","admin","","","","","","","","-30.51","-48.81","-0.8","-4.9","179.82","576.41","4.58","SciCam","/SciCam.20240815_173602703.jpg","PilotCam","/PilotCam.20240815_173602703.jpg","BrowCam","/BrowCam.20240815_173602703.jpg","UserSelect","/UserSelect.20240815_173602703.jpg","","","-999.99","5.33","-999.99","-999.99","66be3c82111b2e001a299052"
"2024-08-15T17:36:17.732Z","44.3592715","-124.9649355","ASNAP","","admin","","","","","","","","-30.67","-48.63","0.4","-4.9","181.08","577.91","4.06","SciCam","/SciCam.20240815_173617732.jpg","PilotCam","/PilotCam.20240815_173617732.jpg","BrowCam","/BrowCam.20240815_173617732.jpg","UserSelect","/UserSelect.20240815_173617732.jpg","","","-999.99","5.30","-999.99","-999.99","66be3c91111b2e001a299056"
"2024-08-15T17:36:19.359Z","44.3592715","-124.9649355","VEHICLE","","guest","","On bottom","","","","","","-30.67","-48.63","-1.3","-5.0","181.44","578.15","4.06","SciCam","/SciCam.20240815_173619359.jpg","PilotCam","/PilotCam.20240815_173619359.jpg","BrowCam","/BrowCam.20240815_173619359.jpg","UserSelect","/UserSelect.20240815_173619359.jpg","","","-999.99","5.28","-999.99","-999.99","66be3c93111b2e001a29905a"
"2024-08-15T17:36:32.763Z","44.3592719","-124.9649355","ASNAP","","admin","","","","","","","","-30.67","-48.59","0.0","-5.8","179.26","578.20","2.61","SciCam","/SciCam.20240815_173632763.jpg","PilotCam","/PilotCam.20240815_173632763.jpg","BrowCam","/BrowCam.20240815_173632763.jpg","UserSelect","/UserSelect.20240815_173632763.jpg","","","-999.99","5.29","-999.99","-999.99","66be3ca0111b2e001a29905e"
"2024-08-15T17:36:40.877Z","44.3592719","-124.9649355","Biology Type","","guest","","","Fish","","","","","-30.67","-48.59","-1.3","-5.2","179.42","578.02","2.61","SciCam","/SciCam.20240815_173640877.jpg","PilotCam","/PilotCam.20240815_173640877.jpg","BrowCam","/BrowCam.20240815_173640877.jpg","UserSelect","/UserSelect.20240815_173640877.jpg","","","-999.99","5.27","-999.99","-999.99","66be3ca8111b2e001a299062"
"2024-08-15T17:36:47.795Z","44.3592708","-124.9649360","ASNAP","","admin","","","","","","","","-30.71","-48.71","-1.3","-4.9","180.64","579.20","1.96","SciCam","/SciCam.20240815_173647795.jpg","PilotCam","/PilotCam.20240815_173647795.jpg","BrowCam","/BrowCam.20240815_173647795.jpg","UserSelect","/UserSelect.20240815_173647795.jpg","","","-999.99","5.30","-999.99","-999.99","66be3caf111b2e001a299066"
"2024-08-15T17:37:02.822Z","44.3592662","-124.9649337","ASNAP","","admin","","","","","","","","-30.53","-49.22","-1.1","-6.0","172.46","579.06","1.88","SciCam","/SciCam.20240815_173702822.jpg","PilotCam","/PilotCam.20240815_173702822.jpg","BrowCam","/BrowCam.20240815_173702822.jpg","UserSelect","/UserSelect.20240815_173702822.jpg","","","-999.99","5.22","-999.99","-999.99","66be3cbe111b2e001a29906a"
"2024-08-15T17:37:06.829Z","44.3592653","-124.9649340","Biology Type","","guest","","","Seastar","","","","","-30.55","-49.32","-1.1","-6.2","172.55","578.81","2.19","SciCam","/SciCam.20240815_173706829.jpg","PilotCam","/PilotCam.20240815_173706829.jpg","BrowCam","/BrowCam.20240815_173706829.jpg","UserSelect","/UserSelect.20240815_173706829.jpg","","","-999.99","5.21","-999.99","-999.99","66be3cc2111b2e001a29906e"
"2024-08-15T17:37:12.392Z","44.3592625","-124.9649330","Biology Type","","guest","","","Fish","","","","","-30.47","-49.63","0.0","-5.7","172.68","579.39","1.85","SciCam","/SciCam.20240815_173712392.jpg","PilotCam","/PilotCam.20240815_173712392.jpg","BrowCam","/BrowCam.20240815_173712392.jpg","UserSelect","/UserSelect.20240815_173712392.jpg","","","-999.99","5.23","-999.99","-999.99","66be3cc8111b2e001a299072"
"2024-08-15T17:37:17.856Z","44.3592608","-124.9649334","ASNAP","","admin","","","","","","","","-30.50","-49.82","-0.1","-5.4","172.92","579.63","1.60","SciCam","/SciCam.20240815_173717856.jpg","PilotCam","/PilotCam.20240815_173717856.jpg","BrowCam","/BrowCam.20240815_173717856.jpg","UserSelect","/UserSelect.20240815_173717856.jpg","","","-999.99","5.36","-999.99","-999.99","66be3ccd111b2e001a299076"
"2024-08-15T17:37:32.887Z","44.3592563","-124.9649320","ASNAP","","admin","","","","","","","","-30.39","-50.32","-0.9","-5.7","173.59","578.99","2.23","SciCam","/SciCam.20240815_173732887.jpg","PilotCam","/PilotCam.20240815_173732887.jpg","BrowCam","/BrowCam.20240815_173732887.jpg","UserSelect","/UserSelect.20240815_173732887.jpg","","","-999.99","5.22","-999.99","-999.99","66be3cdc111b2e001a29907a"
"2024-08-15T17:37:47.915Z","44.3592518","-124.9649318","ASNAP","","admin","","","","","","","","-30.38","-50.82","-0.8","-4.6","175.42","579.34","2.02","SciCam","/SciCam.20240815_173747915.jpg","PilotCam","/PilotCam.20240815_173747915.jpg","BrowCam","/BrowCam.20240815_173747915.jpg","UserSelect","/UserSelect.20240815_173747915.jpg","","","-999.99","5.26","-999.99","-999.99","66be3ceb111b2e001a29907e"
"2024-08-15T17:37:50.000Z","","","SulisCam","","admin","","","","","sulis_20240815173750.jpg","","","","","","","","","","","","","","","","","","-4.943","-0.928","","","","","66be95b3111b2e001a29b16b"
"2024-08-15T17:38:02.947Z","44.3592478","-124.9649312","ASNAP","","admin","","","","","","","","-30.33","-51.26","-0.9","-4.9","173.50","579.10","2.31","SciCam","/SciCam.20240815_173802947.jpg","PilotCam","/PilotCam.20240815_173802947.jpg","BrowCam","/BrowCam.20240815_173802947.jpg","UserSelect","/UserSelect.20240815_173802947.jpg","","","-999.99","5.34","-999.99","-999.99","66be3cfa111b2e001a299082"
